"Broker","Seniority","Policies_in_force","Lapse","Payment","Premium","Cost_claims_year","N_claims_year","N_claims_history","Type_risk","Urban","Second_driver","Power","Cylinder_capacity","Value_vehicle","N_doors","Diesel","Length","Weight","Premium_class","age","Licence_time"
"1","1+","1","0",1,20027,3545.73,4,10,"passenger cars",0,0,90,1781,11449.28,"3",0,4.02,1020,"450-600","senior","experienced driver"
"0","1+","1","0",0,5827,371.4,1,4,"passenger cars",0,0,115,2188,19532.89,"5",1,4.51,1475,"150-300","70+","senior driver"
"1","1","5","0",1,17789,545.84,6,6,"vans",0,0,64,2953,24875.94,"3",1,5.51,2000,"300-450","senior","senior driver"
"0","1+","4","1",1,7490,88.14,1,3,"passenger cars",1,0,68,1700,13132.11,"5",1,4.239,1095,"150-300","senior","experienced driver"
"0","1","1","0",1,19873,471.66,2,2,"passenger cars",0,0,90,1560,16645,"5",1,4.013,1096,"450-600","70+","senior driver"
"1","1+","2","0",0,11240,373.69,2,4,"passenger cars",0,0,115,1753,18705,"3",1,4.342,1388,"150-300","senior","experienced driver"
"0","1+","1","0",0,23020,96.3,1,2,"passenger cars",0,0,224,2987,60800,"5",1,4.781,2110,"600+","70+","senior driver"
"1","1+","2","0",1,11868,4282.17,1,8,"passenger cars",1,0,65,1461,12012.43,"5",1,3.71,995,"300-450","senior","experienced driver"
"0","1+","2","0",0,17683,882,1,11,"passenger cars",0,0,144,1991,18720,"5",1,4.34,1324,"300-450","senior","experienced driver"
"1","1+","6","0",1,21390,51.95,4,12,"passenger cars",0,0,68,1968,24080,"5",1,4.572,1335,"450-600","adult","experienced driver"
"1","1+","6","0",0,2762,882,4,12,"passenger cars",0,0,68,1956,28870,"5",1,4.83,1538,"150-300","adult","experienced driver"
"0","1+","2","0",0,13418,3132.68,1,1,"passenger cars",1,0,245,2993,72900,"5",1,4.877,2075,"300-450","adult","experienced driver"
"1","1","1","0",0,12525,161.1,1,1,"vans",0,0,110,1997,22890,"5",1,4.522,1545,"300-450","senior","experienced driver"
"1","1","2","0",0,8941,665.14,5,5,"passenger cars",0,0,136,1997,26150,"5",1,4.47,1581,"150-300","adult","experienced driver"
"0","1","1","0",1,9667,882,1,1,"passenger cars",0,0,115,1910,23981.5,"4",1,4.466,1310,"150-300","adult","experienced driver"
"0","1+","1","0",1,14208,182.65,2,6,"vans",1,0,75,1390,13390,"6",0,3.995,1065,"300-450","senior","senior driver"
"0","1+","2","0",1,9110,67.11,1,4,"passenger cars",0,0,90,1689,20323.22,"5",1,3.58,1095,"150-300","adult","young driver"
"0","1","1","0",1,14097,231.55,1,1,"passenger cars",0,0,100,1896,16179.95,"5",1,3.953,1169,"300-450","senior","experienced driver"
"0","1+","4","0",1,9314,903.78,2,5,"passenger cars",0,1,60,1299,9832.56,"3",0,3.743,905,"150-300","adult","experienced driver"
"1","1","1","0",0,9443,155.15,2,2,"passenger cars",0,0,75,1974,13450.65,"5",1,4.12,1225,"150-300","senior","experienced driver"
"1","1+","2","0",0,14703,3063.64,2,3,"passenger cars",1,0,163,1598,15475,"5",1,3.635,1065,"300-450","70+","senior driver"
"1","1+","3","0",0,3983,94.5,1,5,"passenger cars",0,0,120,1870,26560,"5",1,4.493,1530,"150-300","young adult","experienced driver"
"1","1","3","0",1,14628,150.25,1,1,"vans",1,0,80,1870,23020,"5",1,4.782,1716,"300-450","senior","experienced driver"
"1","1+","2","0",0,8463,882,1,12,"passenger cars",0,0,83,1560,27550.01,"5",0,4.438,1371,"150-300","senior","senior driver"
"0","1+","1","0",0,22845,2433.5,1,15,"vans",0,0,75,1461,18770,"5",1,4.213,1319,"600+","senior","senior driver"
"1","1+","2","0",0,22215,85.86,2,2,"passenger cars",1,1,140,1968,27210,"5",1,4.206,1447,"600+","senior","senior driver"
"1","1+","2","0",0,7663,368.14,1,1,"passenger cars",0,0,80,1422,15970,"3",1,3.916,1089,"150-300","adult","experienced driver"
"0","1+","1","0",0,11803,67.11,1,8,"passenger cars",0,0,120,1870,25260,"5",1,4.576,1350,"300-450","senior","senior driver"
"0","1+","1","0",0,12177,60.11,1,10,"passenger cars",0,1,100,1399,14385,"4",1,3.916,1061,"300-450","adult","experienced driver"
"1","1+","1","0",0,7347,67.11,1,4,"passenger cars",1,0,110,1598,22910,"5",0,4.576,1270,"150-300","senior","senior driver"
"1","1","1","0",1,10473,962.58,2,2,"vans",0,1,90,1560,20330,"5",1,4.137,1230,"150-300","senior","senior driver"
"1","1+","1","0",1,12580,882,1,4,"passenger cars",0,0,92,1560,19380,"5",1,4.26,1182,"300-450","senior","senior driver"
"1","1+","1","0",0,14242,2247.18,3,7,"passenger cars",1,1,110,2184,17920,"3",1,4.197,1296,"300-450","senior","experienced driver"
"1","1","1","0",1,15293,397.71,3,3,"passenger cars",0,1,120,1598,17180,"3",0,4.03,1180,"300-450","senior","senior driver"
"0","1","1","0",0,16686,141.38,1,4,"passenger cars",0,1,60,1560,20100,"4",1,4.481,1282,"300-450","senior","experienced driver"
"1","1+","1","0",0,10540,66.06,1,4,"passenger cars",1,0,100,1995,23340,"5",1,4.596,1450,"150-300","senior","senior driver"
"0","1+","4","0",0,17143,244.49,2,4,"vans",1,0,116,2148,27106.88,"4",1,4.748,1790,"300-450","senior","experienced driver"
"0","1+","2","0",0,2333,49.95,1,9,"passenger cars",0,1,75,1560,18594.55,"4",1,4.137,1144,"150-300","senior","experienced driver"
"0","1+","3","0",1,12510,57.89,1,2,"passenger cars",1,0,112,1896,23880,"5",1,4.152,1260,"300-450","senior","senior driver"
"0","1+","1","0",0,11181,62.43,1,3,"passenger cars",0,0,110,1598,18310,"5",0,4.164,1280,"150-300","senior","senior driver"
"0","1","5","0",1,4030,589.82,3,3,"passenger cars",0,0,60,1124,9621.74,"3",0,3.72,805,"150-300","adult","experienced driver"
"0","1","5","0",0,2114,49.95,3,3,"passenger cars",0,1,60,1582,22900,"3",0,4.14,1255,"0-150","adult","experienced driver"
"0","1","5","0",0,234,150.25,3,3,"passenger cars",0,0,60,1590,20000,"3",0,3.675,925,"0-150","adult","experienced driver"
"0","1+","1","0",0,16404,73.33,1,7,"vans",1,0,127,2800,27773.48,"2",1,4.945,1795,"300-450","senior","experienced driver"
"0","1","1","0",0,9343,57.13,1,1,"passenger cars",1,0,130,1870,22420,"5",1,4.209,1270,"150-300","adult","experienced driver"
"1","1+","1","0",1,17719,49.13,1,2,"passenger cars",0,0,63,1193,6595.45,"5",0,3.64,900,"300-450","adult","young driver"
"1","1+","9","0",0,2663,882,1,3,"passenger cars",1,0,60,1390,9420.24,"3",0,3.815,995,"150-300","adult","experienced driver"
"0","1","1","0",0,8081,152.27,1,1,"passenger cars",0,0,143,1796,32102.58,"3",0,4.448,1400,"150-300","senior","senior driver"
"1","1+","2","0",0,1516,4833.73,2,4,"vans",0,0,80,1461,17920,"5",1,4.035,1095,"0-150","adult","experienced driver"
"1","1+","2","1",0,19170,150.25,1,8,"passenger cars",1,0,90,1598,13754.49,"5",0,4.11,1088,"450-600","senior","senior driver"
"1","1+","1","0",1,13567,237.01,2,8,"passenger cars",1,0,64,1896,12392.59,"5",1,3.815,1155,"300-450","adult","experienced driver"
"1","1+","2","0",1,1792,107.35,1,4,"passenger cars",0,0,100,1461,21510,"5",1,4.259,1340,"0-150","adult","experienced driver"
"0","1","1","0",0,6930,538.42,1,1,"passenger cars",0,0,115,1753,20205,"5",1,4.342,1415,"150-300","young adult","young driver"
"0","1","1","0",0,2041,882,1,4,"motorbikes",0,0,20,448,9322,"0",0,3.72,117,"0-150","young adult","young driver"
"0","1","1","0",0,9454,72.31,1,1,"passenger cars",0,0,105,1598,22250,"5",1,4.315,1365,"150-300","adult","experienced driver"
"0","1","1","0",1,22916,1193.4,2,2,"passenger cars",0,1,125,999,22025,"5",0,4.36,1205,"600+","young adult","young driver"
"0","1","1","0",1,15498,2902.23,3,3,"passenger cars",0,0,105,1896,21090,"5",1,4.204,1287,"300-450","adult","young driver"
"1","1","1","0",0,8436,64.32,1,1,"passenger cars",0,1,70,1422,14218,"5",1,3.953,1106,"150-300","adult","experienced driver"
"0","1+","2","0",0,3482,933.95,3,5,"passenger cars",0,1,105,1199,11010,"5",1,3.817,960,"150-300","adult","experienced driver"
"1","1+","1","0",0,6835,49.95,1,6,"passenger cars",1,0,70,1248,20020,"2",1,3.921,1273,"150-300","adult","experienced driver"
"1","1","2","0",0,13320,882,1,1,"passenger cars",0,1,115,1910,22750,"5",1,4.17,1290,"300-450","adult","experienced driver"
"0","1+","3","0",1,18675,69.91,2,12,"vans",1,0,108,1868,19200,"6",1,4.522,1354,"300-450","senior","experienced driver"
"1","1+","2","0",0,3253,578.48,1,1,"passenger cars",0,1,140,1968,30310,"4",1,4.765,1454,"150-300","senior","senior driver"
"1","1","1","0",0,879,56.85,1,1,"motorbikes",0,0,22,243,4195,"0",0,3.995,146,"0-150","senior","senior driver"
"0","1+","4","1+",0,16005,1701.06,5,14,"passenger cars",1,0,65,3199,54512.77,"5",1,4.818,1530,"300-450","senior","senior driver"
"0","1+","2","0",0,12924,108.36,1,11,"vans",1,0,85,2148,27793.6,"3",0,4.66,1730,"300-450","senior","experienced driver"
"0","1+","1","0",0,21391,4945.27,2,7,"vans",0,0,95,2148,23084,"4",1,4.748,1745,"450-600","adult","experienced driver"
"0","1+","2","0",0,10467,966.33,2,6,"passenger cars",0,1,150,1991,31750,"5",1,4.635,1820,"150-300","adult","experienced driver"
"0","1","1","0",0,4791,882,1,1,"passenger cars",1,1,75,1242,10559.78,"3",0,3.828,940,"150-300","senior","experienced driver"
"1","1+","4","0",0,11177,167.53,2,10,"vans",0,0,75,2461,20001.45,"5",1,4.707,1610,"150-300","adult","experienced driver"
"1","1+","1","0",0,11072,879.65,1,3,"passenger cars",0,0,130,1998,28040,"5",1,4.804,1512,"150-300","adult","experienced driver"
"0","1+","4","0",1,7800,55.17,1,13,"passenger cars",0,1,170,1149,9796.5,"4",1,3.43,830,"150-300","senior","senior driver"
"0","1+","4","0",0,3653,83.4,2,5,"motorbikes",1,0,0,124,3490,"0",0,4.03,162,"150-300","senior","experienced driver"
