"Premium","Cost_claims_year","Power","Cylinder_capacity","Value_vehicle","Length","Weight","Broker","newClient","Policies_in_force","Lapse","Payment","N_claims_year","N_claims_history","Type_risk","Urban","Second_driver","N_doors","Diesel"
485.81,3545.73,90,1781,11449.28,4.02,1020,"1","0","1","0","1","4+","5+","passenger cars","0","0","3","0"
232.15,371.4,115,2188,19532.89,4.51,1475,"0","0","1","0","0","1","2 - 4","passenger cars","0","0","5","1"
411.56,545.84,64,2953,24875.94,5.399,2000,"1","1","5","0","1","4+","5+","vans","0","0","3","1"
252.71,88.14,68,1700,13132.11,4.239,1095,"0","0","4","1","1","1","2 - 4","passenger cars","1","0","5","1"
479.03,471.66,90,1560,16645,4.013,1096,"0","1","1","0","1","2","2 - 4","passenger cars","0","0","5","1"
298.64,373.69,115,1753,18705,4.342,1388,"1","0","2","0","0","2","2 - 4","passenger cars","0","0","3","1"
1403.9,96.3,224,2987,60800,4.781,2110,"0","0","1","0","0","1","2 - 4","passenger cars","0","0","5","1"
306.81,4282.17,65,1461,12012.43,3.71,995,"1","0","2","0","1","1","5+","passenger cars","1","0","5","1"
408.74,882,144,1991,18720,4.34,1324,"0","0","2","0","0","1","5+","passenger cars","0","0","5","1"
571.55,51.95,68,1968,24080,4.572,1335,"1","0","6+","0","1","4+","5+","passenger cars","0","0","5","1"
172.5,882,68,1956,28870,4.83,1538,"1","0","6+","0","0","4+","5+","passenger cars","0","0","5","1"
328.16,3132.68,245,2993,72900,4.877,2075,"0","0","2","0","0","1","1","passenger cars","1","0","5","1"
315.56,161.1,110,1997,22890,4.522,1545,"1","1","1","0","0","1","1","vans","0","0","5","1"
270.06,665.14,136,1997,26150,4.47,1581,"1","1","2","0","0","4+","5+","passenger cars","0","0","5","1"
278.92,882,115,1910,23981.5,4.466,1310,"0","1","1","0","1","1","1","passenger cars","0","0","4","1"
339.62,182.65,75,1390,13390,3.995,1065,"0","0","1","0","1","2","5+","vans","1","0","6","0"
272.13,67.11,90,1689,20323.22,3.58,1095,"0","0","2","0","1","1","2 - 4","passenger cars","0","0","5","1"
337.95,231.55,100,1896,16179.95,3.953,1169,"0","1","1","0","1","1","1","passenger cars","0","0","5","1"
274.67,903.78,60,1299,9832.56,3.743,905,"0","0","4","0","1","2","5+","passenger cars","0","1","3","0"
276.29,155.15,75,1974,13450.65,4.12,1225,"1","1","1","0","0","2","2 - 4","passenger cars","0","0","5","1"
347.58,3063.64,163,1598,15475,3.635,1065,"1","0","2","0","0","2","2 - 4","passenger cars","1","0","5","1"
204.75,94.5,120,1870,26560,4.493,1530,"1","0","3","0","0","1","5+","passenger cars","0","0","5","1"
346.35,150.25,80,1870,23020,4.782,1716,"1","1","3","0","1","1","1","vans","1","0","5","1"
264.35,882,83,1560,27550.01,4.438,1371,"1","0","2","0","0","1","5+","passenger cars","0","0","5","0"
894.36,2433.5,75,1461,18770,4.213,1319,"0","0","1","0","0","1","5+","vans","0","0","5","1"
